GSM3378079	GSM3378080	GSM3378081	GSM3378082	GSM3378083	GSM3378084
LOC107986579	0.08794	0.1012	0.08092	0	0	0.07812
SOX4	78.01	84.17	52.96	51.71	49.35	52.2
CASC15	0.04018	0.04622	0.03697	0.04007	0.02093	0
LOC105374970	0	0	0	0	0	0
NBAT1	0	0	0	0	0	0
PRL	0	0	0	0	0	0
LOC105374971	0	0	0.02377	0	0	0.02295
HDGFL1	0	0	0	0	0	0
LINC03005	0	0	0	0	0	0
LOC105374973	0.009514	0	0	0	0	0
LOC102724736	0.04082	0	0	0	0	0
LOC105374974	0	0	0	0	0	0
LOC102724749	0.02312	0	0.004254	0.00461	0	0.004107
LOC105374976	0	0	0	0	0.05202	0.04436
LOC105374975	0	0	0.01863	0	0.02109	0
NRSN1	0	0	0	0.02822	0	0
DCDC2	0.06977	0.09631	0.05137	0.06958	0.1163	0.124
KAAG1	0.04871	0	0	0.04857	0.05074	0
MRS2	25.66	26.54	23.59	23.38	29.88	30.6
GPLD1	1.803	2.016	1.988	1.976	2.268	2.343
ALDH5A1	3.531	3.552	2.206	2.092	4.208	5.104
KIAA0319	0.2921	0.2634	0.1235	0.1339	0.1727	0.1894
TDP2	53.57	49.85	43.44	43.25	50.34	54.99
ACOT13	21.93	22.53	19.76	17.94	21.51	20.33
C6orf62	97.84	103.5	89.55	92.95	78.84	82.42
LINC02828	0.1136	0	0	0	0	0
GMNN	21.88	23.84	15.07	15.23	36.63	36.33
ARMH2	0	0	0	0	0.08475	0.07227
RIPOR2	4.418	4.954	7.166	7.269	8.911	8.98
LOC105374981	0.0736	0.06349	0.06773	0.0367	0.07667	0.2288
LOC102724765	0	0	0	0.03588	0.03748	0
CMAHP	0.03974	0	0	0.03963	0.0207	0
LOC101928663	0.05704	0	0	0	0.05942	0.1013
LOC105375106	0.08647	0.3979	0.3183	0.3449	0.2702	0.3073
CARMIL1	7.36	7.297	28.83	28.45	10.09	11.03
SCGN	0.2193	0.2018	0.04036	0.08746	0.09137	0
SLC17A1	0	0	0	0	0	0.02353
H2AC1	0	0	0	0	0	0
H2BC1	0	0	0	0	0	0
H2AC2P	0	0	0	0	0	0
SLC17A4	0.06691	0.06414	0	0	0	0.009907
SLC17A3	0	0	0	0.03273	0	0.02916
SLC17A2	0	0	0	0	0	0
TRIM38	9.259	9.325	4.659	4.718	5.884	6.285
H1-1	0	0.09921	0.07937	0	0.3594	0
H3C1	2.298	1.817	1.586	1.862	1.795	2.552
H4C1	0.3621	0	0	0.3611	0.1886	0.3217
H4C2	1.509	2.17	1.389	1.882	0.5897	0.6705
H3C2	0.5708	1.477	1.051	0.5692	1.041	1.648
H2AC4	0.4236	1.137	0.6497	0.2816	0.2942	0.5018
H2BC3	0	0.3595	0.5753	0.4675	0.1628	0
H3C3	0	0	0	0.1463	0	0
H1-2	166.2	160.5	201.9	189.1	107.6	92.7
HFE-AS1	1.171	1.277	0.8511	1.014	0.546	0.5477
HFE	5.836	5.736	3.14	3.078	3.411	3.575
H4C3	0.1727	0.9934	0.7947	1.55	0.8996	0.7672
H1-6	0.09291	0.2137	0.513	0.4632	0.09679	0.1651
H2BC4	38.14	39.8	43.02	49.84	19.06	19.26
H2AC6	122	116.5	147.4	172.2	80.2	77.38
H1-4	0.6865	0.987	13.74	13.95	0.447	1.143
H2BC5	26.08	26.06	41.65	45.8	15.79	16.55
H2BC6	3.871	5.878	5.415	7.103	3.065	2.751
H4C4	0.7342	0.4222	0.5067	1.647	1.338	0.6522
H3C4	8.045	7.403	10.03	12.54	6.857	6.108
H2AC7	3.566	3.494	4.497	7.376	2.889	2.229
H2BC7	6.579	6.487	10.38	9.685	3.264	5.149
H4C5	12.15	13.56	15.29	16.39	8.19	6.825
H2BC8	16.5	17.93	17.83	14.94	9.777	10.35
H2AC8	9.196	7.144	10.11	9.171	4.603	5.199
H3C6	31.93	28.85	39.85	40.71	21.42	19.04
H1-3	0.7802	0.3989	0.3989	0.3458	0.3612	0.3081
H4C6	0	0	0	0	0	0
H4C7	0	0	0	0	0	0
H3C7	0	0.1663	0	0	0	0
H2BC9	0	0	0	0	0	0
LOC105374986	0.01344	0.01546	0.01237	0	0	0
H3C8	0	0	0	0	0	0
H2BC10	0	0.1773	0	0.1537	0	0.1369
LOC105374985	36.38	36.28	53.61	58.83	24.84	24.66
H4C8	67.72	70.65	99.94	113.5	45.41	45.6
TRX-CAT1-2	0	0	0	0	0	0
TRR-TCG4-1	0	1.061	0	0	0	0
TRS-GCT6-1	0	0	0	0	0	0
TRQ-TTG3-1	0	0	0	0	0	0
TRQ-TTG3-2	0	0	0	0	0.9746	0
TRS-TGA3-1	0	0	0	0	0	0
TRX-CAT1-3	0.9355	1.076	1.722	0	1.949	0.8311
TRW-CCA3-1	0	0	0	0	0	0
TRR-TCG2-1	0	1.061	0	0.9202	0	0.8197
LOC101928743	0	0	0	0	0	0
TRS-AGA2-1	0.8215	0	0	0	0	0
TRR-ACG1-1	0	0	0.8491	0.9202	0	0
TRX-CAT1-4	0	0	0	0	0	0
TRW-CCA3-2	0	0	0	0	0	0
LOC107986582	0	0	0	0	0	0
BTN3A2	13.18	12.72	6.101	6.222	8.146	8.77
BTN2A2	18.26	16.98	8.819	8.443	9.309	10.66
BTN3A1	7.93	8.217	7.358	7.444	4.857	5.539
BTN2A3P	2.74	2.216	1.972	1.731	2.402	2.314
BTN3A3	25.17	24.37	17.03	16.92	16.4	17.37
BTN2A1	20.79	19.78	24.6	24.29	18.8	18.44
LOC285819	0.06959	0.1601	0.1494	0.1619	0.1208	0.103
LOC107986583	0.3176	0.3393	0.3967	0.2941	0.2127	0.3023
BTN1A1	0	0	0.09397	0.06788	0	0.01512
TRL-CAG1-7	0	0	0	0	0	0
HCG11	0.5211	0.5585	0.534	0.5196	0.4565	0.5365
TRT-AGT2-1	0	0	0.8376	0	0	0
TRR-ACG1-2	0.9227	0	0.8491	0.9202	0	0
TRV-CAC1-6	0.9227	0	0	0	0	0
HMGN4	54.91	56.52	47.29	47.55	53.13	54.65
TRA-CGC1-1	0	0	0	0	0	0
TRI-AAT5-1	0	0	1.675	0	0	0
TRP-AGG2-2	0	0	0	0	0	0
TRK-CTT2-4	0.9227	2.123	2.547	0.9202	0.9613	0.8197
TRY-GTA1-1	0	0	0	0	0	0
LOC105374988	0.1868	0.2687	0.1505	0.1165	0.1947	0.1245
TRY-GTA8-1	0	0	0	0	0	0
TRY-GTA3-1	1.845	1.061	0.8491	0.9202	0	0
TRY-GTA6-1	0	0	0	0	0	0
ABT1	15.22	15.93	14.62	15.79	19.29	17.22
LOC105374989	0.0378	0.02174	0	0	0.03938	0.03358
ZNF322	16.01	16.74	13.8	13.39	15.64	16.17
LOC102724851	2.181	2.172	1.294	1.511	1.788	2.08
LOC105374991	0	0	0	0	0	0
TRM-CAT5-1	0	0	0	0	0	0
TRI-AAT7-1	0	0	0.8376	0	0	0
TRM-CAT4-1	0	0	0	0	0	0
TRM-CAT4-2	0	0	0	0	0	0
TRI-AAT6-1	0	0	0.8376	0	0	0.8087
TRM-CAT4-3	0	0	0	0	0	0
TRI-AAT7-2	0	0	0.8376	0	0	0
LOC105374992	0	0	0	0	0	0
TRM-CAT5-2	0	0	0	0	0	0
GUSBP2	19.37	17.18	8.523	9.012	11.05	12.02
LINC00240	2.206	1.745	2.411	2.131	1.867	1.47
LOC100270746	9.306	9.716	10.34	10.21	8.576	8.839
TRI-TAT2-2	8.192	3.141	3.351	3.631	0.9483	3.235
TRP-CGG2-1	0	0	0	0	0	0
TRS-GCT1-1	0	1.89	1.512	0	1.712	1.46
LOC105374995	0.1809	0.4162	0.2775	0.4811	0.1256	0.375
H2BC11	17.93	15.46	19.72	20.39	12.69	12.69
H2AC11	8.657	11.2	8.713	11.33	9.159	7.811
H2BC12	305.1	290.4	309.1	315	237.9	220.9
H4C9	2.913	2.932	3.518	2.179	2.086	2.588
H2AC12	0.4201	0.8054	0.5155	0.6982	0.4377	0.4976
MIR3143	0	0	1.968	1.066	0	0.9499
TRV-CAC9-1	0	1.061	2.547	1.84	0.9613	0
TRH-GTG1-5	0	0	0	1.866	0	0
TRT-AGT6-1	0	0	0.8376	1.815	0	1.617
TRI-AAT5-2	0	0	0	0	0	0
TRV-CAC6-1	0	0	0	0	0	0
TRS-CGA2-1	0	0	0	0	0	0
TRR-ACG2-2	0	0	0.8491	0	0	0
TRR-ACG2-3	0	0	0	0	0	0
TRL-TAA4-1	0	0	3.734	0.8093	0	0.721
TRV-AAC5-1	0	0	0	0	0	0
TRI-AAT5-3	2.731	1.047	5.026	4.539	1.897	4.852
PRSS16	10.06	10.47	14.24	14.98	9.042	8.415
TRI-AAT9-1	0	0	0	0	0	0
TRI-AAT3-1	1.821	1.047	1.675	0.9077	0.9483	0.8087
TRV-CAC2-1	0	0	0	0	0	0
TRV-TAC4-1	0	0	0	0	0	0
TRQ-CTG5-1	0	0	0	0	0	0
TRS-GCT2-1	0	0	0	0	0	0
POM121L2	0	0.04888	0.01955	0	0	0.07551
LOC105375107	0	0	0	0	0	0
VN1R10P	0	0	0	0	0	0
TRX-CAT1-5	1.871	1.076	0	0	0	0
TRK-TTT6-1	0	0	0	0	0.9613	0
ZNF204P	4.646	4.531	3.728	3.447	4.472	4.999
ZNF391	8.336	8.364	5.711	5.7	8.786	9.26
ZNF184	5.229	5.381	4.239	4.278	5.086	5.127
LOC105375001	0.4507	0.5317	0.7763	0.726	0.626	0.5749
TRS-AGA2-2	0.8215	0	0	0	0	0.7298
TRD-GTC2-6	0	1.076	1.722	0	0.9746	1.662
TRS-AGA2-3	0	0	0	0	0	0
TRS-AGA2-4	0	0	0	0	0	0
TRD-GTC2-7	0	0	0	0	0	0
LOC107986584	0.05386	0.1394	0.03717	0.01343	0.01403	0.04784
TRS-TGA4-1	0	0	0.7559	0.8192	1.712	0
TRQ-CTG1-2	0	0	0	0	0	0
TRS-AGA3-1	0	0.9449	0	0.8192	1.712	0.7298
TRS-AGA1-1	0	0.9449	0	1.638	0	0
TRS-TGA2-1	0.8215	0.9449	2.268	0	2.567	0
TRQ-CTG2-1	0	0	0	0	0	0
TRS-AGA4-1	0	0	0	0	0.8558	0
TRR-TCT5-1	0	0	0	0	0	0
TRK-TTT9-1	0	0	0	0	0	0
TRD-GTC3-1	0	0	0	0	0	0
TRK-TTT4-1	0	0	0	0	0.9613	0
TRX-CAT1-6	0.9355	0	1.722	0	0	0
TRL-CAA3-1	0	0	1.476	0.7997	0	0.7124
TRL-CAA2-1	0	0	0	0	0	0
TRT-CGT5-1	0	0	0	0	0	0
TRI-TAT2-3	0	0	0.8376	0.9077	0	0
TRV-AAC3-1	0	2.123	1.698	0	0	0
TRI-AAT8-1	0	0	0.8376	0	0	0
TRR-ACG2-4	0	0	0	0	0	0
TRS-CGA3-1	0	0	0	0	0	0
TRV-AAC4-1	0	0	0	0	0	0
TRT-AGT2-2	0	1.047	0	0	0	0
TRI-AAT2-1	0	1.047	0	0	0	0
LINC01012	0.5272	0.3154	0.2329	0.3996	0.1538	0.2061
TRL-TAA2-1	0	0	0	0	0	0
TRT-AGT4-1	0	0	0	0	0	0
TRV-CAC7-1	0	0	0	0	0	0
TRV-AAC1-5	0	0	0	0	0	0
LOC100131289	0.08135	0	0	0	0	0
TRX-CAT2-1	0	0	0	0	0	0
TRQ-CTG6-1	0	1.076	1.722	0	0	0.8311
TRQ-TTG3-3	0	1.076	0.8609	0	0.9746	2.493
H2BC13	7.881	11.97	14.09	13.2	9.914	8.586
H2AC13	16.95	12.89	12.56	10.88	7.481	9.059
H3C10	55.4	58.81	37.35	44.02	38.57	39.47
H2AC14	3.376	1.941	3.106	2.448	2.078	2.045
H2BC14	0.151	0.5212	0.4169	0	0.1573	0.2683
H4C11	6.433	6.747	6.616	6.793	5.322	4.707
H4C12	7.231	7.004	6.479	7.59	4.757	5.409
H2AC15	20.65	16.84	14.82	18.55	12.2	12.75
H2BC15	10.5	11.22	15.32	14.21	12.97	11.59
H2AC16	2.006	2.143	1.583	1.429	2.24	2.164
H1-5	0.7674	0.5885	1.098	1.275	0.7106	1.439
H3C11	0.1412	0.1624	0.1299	0	0.1471	0
H4C13	0	0	0	0	0.1928	0
H3C12	2.677	1.297	2.464	1.405	2.055	2.003
H2AC17	13.28	17.98	16.42	17.52	12.54	11.92
H2BC17	3.606	2.655	3.053	2.301	3.907	2.691
TRX-CAT1-7	0.9355	0	0	0	0	0
TRG-GCC2-3	0	0	0	0	0	0
OR2B2	0	0	0	0.05542	0	0
OR2B6	0.6436	0.9048	0.329	0.6418	0.7449	0.7623
OR1F12P	0.06643	0.07641	0.06113	0	0	0
LOC102724889	3.71	3.706	4.941	4.186	4.271	4.423
ZNF165	5.15	4.523	5.907	5.212	4.757	5.252
ZSCAN12P1	0.4485	0.535	0.5503	0.6792	0.5018	0.4722
ZSCAN16-AS1	9.028	8.188	7.458	6.299	7.158	6.679
ZSCAN16	9.511	9.396	6.487	6.784	7.39	7.694
ZKSCAN8	11.56	11.11	8.666	9.08	10.22	10.69
ZKSCAN8P1	0.4902	0.4229	0.3007	0.4073	0.5106	0.7621
TRS-GCT5-1	1.643	0.9449	1.512	0	0	0
TOB2P1	4.126	4.293	3.538	3.385	3.341	4.015
ZSCAN9	8.133	8.241	7.878	8.312	7.674	6.945
ZKSCAN4	4.035	3.664	3	2.975	3.197	3.377
NKAPL	0	0	0	0	0	0.03601
ZSCAN26	4.824	5.401	4.439	4.874	4.511	4.304
PGBD1	0.3586	0.3332	0.4315	0.4676	0.5603	0.3798
ZSCAN31	3.186	3.331	2.841	2.697	2.53	2.289
ZKSCAN3	5.649	5.237	4.784	5.208	4.642	4.921
ZSCAN12	2.714	2.496	3.04	3.114	3.229	3.549
LOC105374998	0.1211	0.4181	0	0.3624	0.3786	0.2153
LOC105374997	6.778	5.916	5.073	5.093	5.83	5.915
ZSCAN23	3.443	2.788	2.759	2.896	2.379	3.23
TRT-TGT1-1	0	0	0	0	0	0
TRL-AAG4-1	0	0	0	0	0	0
TRT-CGT1-1	0	0	0	0	0	0
GPX6	0	0	0	0	0	0
GPX5	0	0	0	0	0	0
TRI-TAT3-1	0	0	0	0.9077	0	0
LOC107986586	0	0	0	0	0	0
TRR-TCG5-1	0	0	0	0	0	0
SCAND3	2.978	3.003	2.543	2.626	2.839	2.979
TRQ-TTG2-1	0.9355	2.152	0.8609	0	0.9746	0
TRS-GCT4-1	0	0	0	0	0	0
TRA-AGC3-1	0	0	0	1.866	1.949	0
LOC105374996	0	0	0.0628	0.2042	0.1422	0
TRA-TGC2-1	0	0	0.8609	0.9329	0.9746	0
TRT-CGT3-1	0	0	0.8376	0	0	0
LINC00533	0.1159	0.1334	0.3201	0.1156	0.3623	0.206
TRA-AGC4-1	0	0	0	0	0	0
TRA-CGC2-1	0	0	0	0	0	0
TRA-CGC5-1	0	0	0	0	0	0
TRA-AGC7-1	0	0	0	1.866	0.9746	0
TRT-AGT3-1	0	0	0	0	0	0.8087
TRA-CGC4-1	0	0	0	0	0	0
TRV-AAC6-1	0	0	0	0	0	0
TRR-CCG1-1	0.9227	1.061	0.8491	0	0	0
TRK-TTT7-1	0	0	1.698	0	0	0
TRA-TGC6-1	0	0	0	0	0	0
TRA-TGC1-1	0	0	0	0	0	0.8311
TRF-GAA1-1	0	0	0	0	0	0
TRA-AGC1-1	0	0	0	0	0	0
TRF-GAA3-1	0	0	0	0	0	0
TRA-TGC5-1	0.9355	0	1.722	0	0	0.8311
TRA-AGC2-1	0	0	0	0	0	0
LINC01623	0.1209	0.1669	0.2226	0.07236	0.2016	0.1289
TRA-AGC2-2	0	0	0	0	0	0
TRR-CCG1-2	0	1.061	0	0	0	0
TRL-CAA1-1	0	0	0.7468	0	0	0
HCG14	1.475	1.32	0.3016	0.1634	0.5122	0.8736
TRIM27	81.59	83.99	89.81	96.3	80.02	80.97
TRL-CAA1-2	0	0	0.7468	0	0	0
TRQ-CTG1-3	0	0	0	0	0	0
TRL-AAG2-2	0	0	0	0	0	0
LINC01556	0	0	0.0821	0.08897	0	0.07926
TRM-CAT3-1	0	0	0	0	0	0
TRK-TTT3-3	0	0	0	0	0	0
TRM-CAT3-2	0	0	0	0	0	0
TRF-GAA1-2	0	0	0	0	0	0
TRE-CTC1-6	0	0	0	0	0	0
HCG15	2.565	2.471	2.251	2.439	3.543	4.081
TRL-AAG3-1	1.643	3.78	4.536	7.372	5.135	11.68
ZNF311	0	0	0.01457	0	0.0165	0.01407
LOC105375002	0	0	0	0	0	0
OR2W1-AS1	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0
OR2J1	0	0	0	0	0	0
LOC105375003	0	0	0	0	0	0
OR2J3	0	0	0	0	0	0
OR2J2	0	0	0	0	0	0
LINC03003	0	0	0	0	0	0
LOC105375006	0	0	0	0	0	0
LOC105375005	0	0	0	0	0	0
OR14J1	0	0	0	0	0	0
OR5V1	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0
LOC105379641	0	0	0	0	0	0
OR12D1	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0
OR2H1	0	0.01618	0	0	0	0
LOC105375008	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0
LINC02829	0	0	0	0	0	0
LINC01015	0	0	0	0	0	0
UBD	3.089	3.727	0.208	0.07514	0.07849	0.1339
SNORD32B	0	0	0	0	0	0
OR2H2	0	0	0.011	0.01192	0.01246	0
GABBR1	11.81	9.029	7.643	9.606	6.19	8.153
MOG	0	0	0	0	0	0
ZFP57	0.031	0	0.02853	0.03091	0	0
HLA-F	3.543	3.433	2.15	2.307	1.91	1.927
HLA-F-AS1	1.98	2.4	1.204	1.516	1.842	2.199
IFITM4P	0	0	0.3625	0	0	0.175
HCG4	3.693	4.21	2.731	2.795	3.4	3.076
HLA-V	1.887	1.628	1.447	1.202	1.365	1.35
HLA-G	1.406	1.237	0.9893	0.9484	0.9046	0.6612
LOC105375010	0	0.05489	0.04391	0	0	0.0212
HCP5B	0.07132	0.08204	0.03281	0	0	0.1267
HLA-H	31.57	29.9	20.98	21.35	14.12	12.81
HCG4B	0.6418	0.6792	0.3071	0.6144	0.2674	0.2509
HLA-A	175.3	167	103.3	116.3	80.5	79.68
HCG9	0.3095	0.356	0.1898	0	0.1075	0.1833
POLR1HASP	2.606	2.375	1.552	1.735	1.7	2.299
HLA-J	4.207	4.64	2.634	3.157	2.395	2.89
POLR1H	35.78	32.87	25.78	24.94	30.01	28.41
PPP1R11	62.85	57.68	64.01	64.11	51.37	50.22
RNF39	0.8851	0.7772	0.9984	0.949	0.7535	0.6256
TRIM31	0.09853	0.03778	0	0.03275	0	0.02918
TRIM31-AS1	0	0	0	0	0	0
TRIM40	0	0	0	0	0	0
TRIM10	0.04582	0.01757	0.01406	0	0	0.02714
TRIM15	0	0	0	0	0	0
TRIM26	48.21	48.47	47.07	48.72	47.99	51.8
HCG17	1.472	1.905	1.101	0.9176	1.342	1.798
HLA-L	1.151	1.056	0.8717	1.308	0.5314	0.5826
HCG18	12.6	13.14	9.924	11.02	11.27	12.18
TRIM39	11.04	11.14	11.61	13.05	10.26	10.65
TRIM39-RPP21	21.41	18.79	16.69	20.79	20.51	19.09
RPP21	35.94	32.11	25.06	30.32	36.38	33.03
LOC105375012	0	0	0	0	0	0
HLA-E	20.43	20.19	14.15	15.04	12.19	11.47
LINC02569	0.111	0.06382	0.2042	0.1107	0.0578	0.1972
GNL1	17.74	16.85	14.56	14.91	14.31	14.8
PRR3	18.95	17.66	12.11	12.13	17.78	19.13
ABCF1-DT	3.722	3.282	1.826	2.35	2.455	3.306
ABCF1	111.1	114.1	86.63	88.1	88.1	88.79
MIR877	1.566	1.802	0.7208	0.7811	0	1.392
PPP1R10	99.08	102.1	82.57	83.79	81.93	87.72
MRPS18B	94.21	93.96	90.48	91.46	93.79	91.62
ATAT1	16.24	16.09	16.43	16.82	11.33	13.62
C6orf136	21.83	19.35	17.06	17.85	19.39	21.59
DHX16	32.63	31.91	30.77	32	29.4	31.24
PPP1R18	3.052	3.151	2.845	2.926	1.997	1.912
NRM	10.93	11.86	6.169	6.626	14	15.9
MDC1	28.13	29.58	22.99	24.56	44.67	50.55
MDC1-AS1	27.38	28.35	22.93	22.57	40.98	52.38
TUBB	1218	1250	888.7	880.3	1643	1723
FLOT1	179.4	174.7	175.6	180.7	159.1	152.1
IER3-AS1	11.15	10.26	8.855	7.723	9.291	8.966
IER3	6.044	6.138	4.209	3.421	4.198	4.064
HCG20	0	0.06446	0	0.05588	0.05838	0.04978
LINC00243	0.1641	0.151	0.151	0.06547	0.2052	0.3208
LINC02570	0	0	0	0	0	0
DDR1	141.8	142.5	76.1	81.02	72.16	74.78
MIR4640	3.742	0	1.377	1.493	0.7797	1.995
GTF2H4	27.23	25.71	21.25	21.62	24.18	28.28
VARS2	43.46	42.84	23.28	24.01	40.43	45.93
SFTA2	0.3021	0.1737	0.139	0	0	0
MUCL3	0.06339	0	0	0	0.01321	0.01126
HCG21	0.07869	0	0	0	0.08198	0.06991
MUC21	0	0	0	0.01771	0	0.01578
MUC22	0.01122	0	0.01032	0	0.01169	0
HCG22	0	0	0	0	0	0
C6orf15	0	0	0	0	0	0
PSORS1C1	0.7174	0.9077	1.122	0.5723	0.7473	0.4461
CDSN	0.9755	0.7278	0.5095	0.5521	0.5768	0.3747
PSORS1C2	0.6208	0.2678	0.07141	0.2322	0.1617	0.2068
CCHCR1	21.49	21.31	15.06	16.12	24.2	24.6
TCF19	33.96	38.42	17.43	18.37	73.94	78.11
POU5F1	1.808	1.911	1.371	1.218	1.171	1.367
PSORS1C3	2.017	1.472	1.856	1.717	1.128	1.049
HCG27	1.449	0.8109	1.225	1.328	1.836	1.879
HLA-C	410.4	407.8	327	359.3	229.6	228.7
LINC02571	0.1269	0	0.5837	0.3795	0	0.3381
LOC112267902	0.3114	0.5235	0.9699	0.8599	0.6239	0.4043
HLA-B	201.1	194.2	146.6	157.1	91.1	96.35
MIR6891	0.7243	0.8331	0	0.7223	0	0
MICA-AS1	3.188	2.718	4.073	5.199	3.985	3.798
MICA	23.57	22.66	25.69	27.42	19.4	21.52
LINC01149	0	0	0	0	0	0
HCP5	3.237	2.624	0.9521	0.6878	1.216	1.226
HCG26	0	0.06566	0.05253	0.05692	0	0
MICB-DT	0.102	0	0	0	0.0354	0.03019
MICB	0.1597	0.09184	0.1714	0.1592	0.1109	0.1419
MCCD1	0.09487	0.1091	0.0873	0.09461	0.09883	0.08428
ATP6V1G2-DDX39B	134.8	130	101.2	105.6	123.9	133.2
DDX39B	183.9	177.5	138	144.1	169.3	181.9
SNORD117	0	4.078	1.631	4.419	2.77	2.362
SNORD84	33.68	32.78	26.22	33.59	26.09	37.59
DDX39B-AS1	1.662	1.617	2.352	1.53	0.9321	1.59
ATP6V1G2	2.547	1.726	1.507	1.678	1.611	1.374
NFKBIL1	33.64	30.32	24.69	27.18	26.21	24.64
LOC100287329	0.3704	0.3043	0.1461	0.5804	0.2756	0.282
LTA	0.208	0.0299	0.2632	0.2852	0.1083	0.09238
TNF	2.93	3.786	0.591	0.5204	0	0
LTB	1.733	2.253	0.06934	0.2254	0.07849	0.06694
LST1	0	0	0	0	0.07893	0
NCR3	0	0	0	0	0	0
AIF1	0.2716	0.1562	0.125	0.06771	0	0
PRRC2A	224.9	225	176.1	188.1	211	223.9
SNORA38	0.5103	1.174	0.4696	0.5089	1.595	0.4533
MIR6832	4.678	6.457	5.165	8.396	2.924	7.48
BAG6	137.4	132.3	129.7	140.1	111.7	126.3
APOM	21.69	21.15	20.84	22.66	17.85	19.27
C6orf47	22.89	23.8	22.59	22.36	21.47	20.98
GPANK1	17.77	17.26	15.49	16.53	19.16	19.16
CSNK2B	214.3	220.5	193.8	195	224.5	217.4
LY6G5B	17.58	13.91	17.78	22.04	14.51	18.56
LY6G5C	0.6495	0.5336	0.3415	0.9252	0.6766	0
LOC105375019	3.302	3.885	3.283	3.671	3.005	2.596
ABHD16A	60.35	59.55	57.02	63.96	48.61	46.43
LOC105375018	2.727	2.187	2.282	2.143	1.464	1.982
MIR4646	0	0	0.9839	0	0	0
LY6G6F-LY6G6D	0.05162	0.05937	0.095	0	0.1075	0.04586
LY6G6F	0	0	0	0	0.06859	0
LY6G6E	0	0	0	0	0	0
LY6G6D	0.1676	0.1927	0.3084	0	0.3491	0.1489
LY6G6C	0.3772	0.1735	0.6247	0.7522	0.3929	0.268
MPIG6B	1.054	0.793	0.877	1.011	0.6759	0.7025
DDAH2	62.41	58.35	78.7	80.82	41.55	45.26
CLIC1	313.8	315.8	346.7	351.6	245.1	230.1
LOC105375020	0.5832	0.7379	0.7513	0.756	0.6075	0.7253
MSH5-SAPCD1	10.2	8.563	5.95	7.324	10.33	11.93
MSH5	10.92	9.4	6.298	7.678	11.19	12.92
SAPCD1	7.141	5.758	3.726	5.432	6.825	7.652
VWA7	3.281	3.212	1.902	2.2	1.731	1.898
SAPCD1-AS1	5.401	4.751	3.411	4.225	4.634	5.928
VARS1	133.2	136.4	102.3	112.6	125.1	132.6
LSM2	118.7	119.6	79.61	69.05	150.8	146.3
HSPA1L	7.341	7.406	4.287	4.742	5.488	5.048
HSPA1A	130.6	125.9	122.1	129.4	104.4	109.5
HSPA1B	214.5	207.7	197.5	207.7	170.8	180.7
SNHG32	230.3	234.4	161.9	156.7	198.1	196.6
SNORD48	30.52	16.95	14.53	23.09	25.22	24.31
SNORD52	59.99	73.85	33.9	46.18	57.01	72.93
NEU1	48.64	51.05	45.81	47.34	21.6	21.27
SLC44A4	277.7	276.5	164.4	168.2	63.37	68.2
EHMT2	42.27	41.43	28.19	30.52	37.83	40.68
EHMT2-AS1	18.26	16.78	11.34	13.07	11.22	13.47
C2	0.9831	0.8167	2.764	2.85	1.005	1.1
ZBTB12	12.58	11.85	7.078	6.629	7.155	8.591
C2-AS1	0.0884	0.1017	0.8948	0.5289	0.09209	0.07853
CFB	3.945	4.099	1.527	1.384	1.02	0.6042
NELFE	99.44	100.2	97.31	103.5	93.34	95.12
MIR1236	0.6604	0.7596	0	0	0	0
SKIC2	47.77	44.56	42.03	46.76	36.82	39.53
DXO	22.85	20.55	25.22	29.85	18.4	22.1
STK19	18.65	18.72	22.24	24.1	15.53	17.62
C4A	0.6578	0.5283	0.4683	0.7179	0.4138	0.4962
CYP21A1P	0.02773	0.0638	0.05104	0.02765	0	0.04927
TNXA	0	0.02784	0.02227	0.04827	0.02521	0.043
C4B	0.6578	0.5854	0.4911	0.8293	0.4008	0.5954
CYP21A2	0.03118	0.07174	0.08609	0.09329	0.03249	0.0277
TNXB	0.02423	0.05575	0.04906	0.0435	0.03534	0.03875
ATF6B	46.04	41.19	42.72	48.22	32.87	35.14
FKBPL	14.81	15.24	16.54	17.67	17.36	15.96
PRRT1	1.594	1.309	0.6052	1.135	1.159	1.236
LOC100507547	4.432	3.757	2.63	3.199	3.22	3.523
PPT2	9.862	9.267	7.691	8.867	7.94	9.771
PPT2-EGFL8	8.766	8.123	6.794	7.633	7.382	7.765
EGFL8	10.7	9.319	7.971	9.044	8.334	9.008
AGPAT1	80.47	81.73	68.98	72.55	77.37	78.82
MIR6721	101.4	112.2	94.76	96.51	107.3	105.9
RNF5	91.54	89.21	93.45	89.72	90.09	88.72
MIR6833	1.104	1.27	0	1.101	0	0
AGER	6.344	5.78	6.723	7.712	4.53	6.364
PBX2	50.19	47.08	42.42	44.66	39.31	38.51
GPSM3	0.5581	0.5432	0.7111	0.7706	0.2236	0.5721
NOTCH4	0.2656	0.3055	0.2354	0.2354	0.2357	0.201
TSBP1-AS1	0.02206	0	0	0	0.02298	0
TSBP1	0	0.01479	0	0	0	0
