"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01522","hsa01522","Endocrine resistance",97,-0.505700710354442,-1.3727757134903,0.0188995514007178,0.149675213140988,0.129156701670008,3931,"tags=31%, list=10%, signal=28%","BAX/MAPK8/SOS1/MMP2/RB1/E2F3/DLL3/KRAS/CCND1/SHC3/PIK3R2/PIK3CB/NOTCH1/NOTCH3/JAG2/ADCY7/MAPK9/BCL2/TP53/P3R3URF-PIK3R3/PIK3R3/CDK4/PIK3R1/ADCY3/CDKN2C/FOS/ADCY1/GPER1/E2F2/E2F1"
"hsa04740","hsa04740","Olfactory transduction",434,-0.379494564904219,-1.20676984431132,0.0195796063701873,0.149675213140988,0.129156701670008,5773,"tags=3%, list=15%, signal=3%","CAMK2G/OR2AG2/OR2B6/PDE2A/GNG7/CALM1/OR5B12/GNG13/GRK3/ARRB2/ADCY3/CAMK2B/OR51E1/CAMK2D"
"hsa05210","hsa05210","Colorectal cancer",87,-0.509626313167461,-1.37328426416951,0.0214367706680572,0.156898917230036,0.135390130535098,4538,"tags=37%, list=12%, signal=32%","CASP3/RHOA/RALB/RALA/BAX/MAPK8/SOS1/CYCS/RALGDS/KRAS/CCND1/PIK3R2/PIK3CB/RAC3/MSH2/BBC3/APPL1/SMAD3/MAPK9/BCL2L11/BCL2/TP53/P3R3URF-PIK3R3/PIK3R3/GADD45A/PIK3R1/PMAIP1/MSH6/FOS/DDB2/BIRC5/MYC"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",296,0.414576556915669,1.25226855103449,0.0211579936709619,0.156898917230036,0.135390130535098,4526,"tags=17%, list=12%, signal=15%","LIFR/IL32/CCL20/CXCR4/CXCL11/GDF15/TNFRSF19/TNFRSF10B/CXCL10/BMPR1A/BMPR1B/IL2RG/IL10RB/CCL2/TNF/GHR/IL23A/TNFSF18/TNFRSF1A/RELL2/EPOR/IL17RA/INHBC/IL6ST/CTF1/IL20RA/TNFSF13/TNFSF10/IFNGR1/TNFRSF14/IL17RC/AMHR2/LTBR/INHBE/BMP6/GDF11/ACVR1B/IL17C/CCL8/IFNGR2/CCL27/GDF9/IL6R/TGFBR1/TNFRSF12A/OSMR/CD27/LTA/ACVR2A"
"hsa00860","hsa00860","Porphyrin metabolism",46,0.619017533141907,1.49248530130895,0.0220363909760462,0.157927468661664,0.136277681036075,1916,"tags=28%, list=5%, signal=27%","UGT2B28/UGT2B11/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7"
"hsa05332","hsa05332","Graft-versus-host disease",39,0.628033520935364,1.46210769009911,0.02257938212946,0.158516478623148,0.136785945445923,5184,"tags=21%, list=14%, signal=18%","HLA-DMA/HLA-B/TNF/HLA-C/HLA-A/HLA-E/HLA-F/HLA-G"
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450",76,0.529722500695368,1.38186058293994,0.0260634675530151,0.179316656764744,0.1547346915779,3115,"tags=24%, list=8%, signal=22%","UGT2B28/UGT2B11/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/CYP2A6/UGT1A8/UGT1A10/UGT1A9/UGT1A7/CYP3A5/GSTT2/CYP2D7/GSTT2B"
"hsa00040","hsa00040","Pentose and glucuronate interconversions",36,0.631223035493284,1.45491320533999,0.0303096135404934,0.187778207487177,0.162036274514639,1916,"tags=39%, list=5%, signal=37%","UGT2B28/UGT2B11/SORD/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7"
"hsa04136","hsa04136","Autophagy - other",32,0.643667394402393,1.44854578760317,0.0309716040574961,0.187778207487177,0.162036274514639,6925,"tags=56%, list=18%, signal=46%","WIPI1/MTOR/ATG101/GABARAPL1/IGBP1/PPP2CB/ATG13/ATG4A/ATG2A/ATG4B/WIPI2/GABARAPL2/RPTOR/PIK3C3/ATG9B/BECN1/ATG16L1/ATG2B"
"hsa05330","hsa05330","Allograft rejection",37,0.618908326018532,1.42803677779267,0.0291581255605949,0.187778207487177,0.162036274514639,5184,"tags=22%, list=14%, signal=19%","HLA-DMA/HLA-B/TNF/HLA-C/HLA-A/HLA-E/HLA-F/HLA-G"
"hsa04920","hsa04920","Adipocytokine signaling pathway",70,0.547646461240062,1.41974930974395,0.0308482112126455,0.187778207487177,0.162036274514639,3665,"tags=27%, list=10%, signal=25%","ACSL3/NFKBIA/IRS2/TRADD/MTOR/NFKBIB/NFKBIE/CAMKK2/TNF/TNFRSF1A/SLC2A4/PPARA/IKBKG/PRKAA1/CPT1B/PRKAB2/PRKAA2/SLC2A1/PRKAB1"
"hsa04976","hsa04976","Bile secretion",90,0.510900160657872,1.35926867757408,0.028489634944588,0.187778207487177,0.162036274514639,2676,"tags=23%, list=7%, signal=22%","UGT2B28/UGT2B11/UGT1A1/ABCC4/ATP1A1/UGT2B7/UGT2B10/LDLR/SLC22A1/UGT1A3/UGT2B4/HMGCR/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7/ATP1A2/ADCY6/AQP4"
"hsa05161","hsa05161","Hepatitis B",163,-0.444015007146771,-1.29056057562021,0.0311144122871195,0.187778207487177,0.162036274514639,4645,"tags=25%, list=12%, signal=22%","CHUK/CASP3/STAT1/YWHAB/BAX/MAPK8/BID/ELK1/SOS1/FAS/JAK2/RB1/E2F3/CYCS/MAP3K1/KRAS/PIK3R2/TLR3/PIK3CB/HSPG2/SMAD3/MAPK9/VDAC3/BCL2/TP53/P3R3URF-PIK3R3/PIK3R3/PIK3R1/MAP2K6/FOS/CCNE1/DDB2/BIRC5/MYC/CDK2/CCNA2/E2F2/PCNA/E2F1/CCNE2"
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",222,-0.413434475105436,-1.23414138600883,0.0280094472418735,0.187778207487177,0.162036274514639,3931,"tags=27%, list=10%, signal=24%","BAX/ANAPC7/MAPK8/EGR1/ANAPC4/ELK1/ITGB2/RB1/E2F3/VDAC1/PPP3CA/CDC27/MAP3K1/KRAS/CCND1/PTTG1/PPP3CB/PIK3R2/TCF3/PIK3CB/TLN2/SLC25A5/MAP3K14/BUB3/NFYB/XPO1/SMAD3/CCND3/ADCY7/ANAPC1/KAT2A/MAPK9/VDAC3/CDC20/TP53/RAN/P3R3URF-PIK3R3/PIK3R3/CDK4/PIK3R1/ADCY3/CDKN2C/RANBP1/FOS/CCNB2/CCNE1/MYC/ADCY1/CDK2/CHEK2/ESPL1/CCNA2/TERT/MAD2L1/BUB1B/CHEK1/E2F2/E2F1/CCNE2"
"hsa00592","hsa00592","alpha-Linolenic acid metabolism",26,0.674975758271515,1.45151122868044,0.0333764969938375,0.197957154584139,0.170819821275175,5954,"tags=46%, list=16%, signal=39%","ACOX3/PLA2G4C/PLA2G4E/FADS2/PLA2G4B/ACAA1/JMJD7-PLA2G4B/ACOX1/PLA2G6/PLA2G12A/PLA2G4A/PLB1"
"hsa04612","hsa04612","Antigen processing and presentation",71,0.531624284801373,1.38232632499493,0.0347640437815562,0.202692051878904,0.174905626162335,5432,"tags=31%, list=14%, signal=27%","B2M/HLA-DMA/TAPBP/HSPA5/HLA-B/TNF/HLA-C/CALR/HSPA2/LGMN/HLA-A/PDIA3/TAP1/HLA-E/CTSS/PSME2/PSME1/CANX/HLA-F/HSPA1A/HLA-G/HSPA1B"
"hsa04940","hsa04940","Type I diabetes mellitus",42,0.602311639386107,1.42290604895899,0.0431748579252764,0.247535852104918,0.213601928682947,5184,"tags=26%, list=14%, signal=23%","PTPRN2/HLA-DMA/HLA-B/TNF/HLA-C/HLA-A/HLA-E/ICA1/LTA/HLA-F/HLA-G"
"hsa04725","hsa04725","Cholinergic synapse",115,-0.455904090667759,-1.27026005141432,0.0467249881031317,0.263498293565202,0.227376128474256,4805,"tags=25%, list=13%, signal=22%","GNG7/GNA11/GNB5/KCNQ2/PLCB1/JAK2/KCNQ1/GNG4/ITPR1/KRAS/GNG13/GNG10/GNB4/PIK3R2/PIK3CB/PLCB4/GNB3/ADCY7/KCNQ4/BCL2/P3R3URF-PIK3R3/PIK3R3/CHRNA3/PIK3R1/ADCY3/FOS/ADCY1/CAMK2B/CAMK2D"
"hsa00620","hsa00620","Pyruvate metabolism",47,-0.56112247456723,-1.36829309014568,0.0492412640710281,0.273209594200543,0.235756136978437,5641,"tags=38%, list=15%, signal=33%","MDH2/PCK2/PDHA1/ALDH3A2/MDH1/AKR1A1/PDHB/ACAT1/ACYP1/FH/ACSS1/DLAT/PKM/ME2/GLO1/ALDH1B1/ACACB/LDHB"
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption",44,0.571223587408576,1.37513100204975,0.0556660039761431,0.299204771371769,0.258187715810401,4773,"tags=36%, list=13%, signal=32%","CREB3L4/CREB3/AQP3/CREB3L2/RAB5A/STX4/ADCY6/AQP4/RAB5B/DYNC1I2/CREB3L1/DCTN5/RAB11B/DYNC1LI1/DYNC2LI1/RAB11A"
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway",72,0.522079641532402,1.35800981665156,0.0550098231827112,0.299204771371769,0.258187715810401,5585,"tags=28%, list=15%, signal=24%","NFKBIA/TRADD/CXCL10/MAPK11/NFKBIB/IRF7/TNF/TBKBP1/IKBKG/OTUD5/CYLD/AZI2/IRF3/IKBKE/ISG15/RIGI/TBK1/RELA/IKBKB/TANK"
"hsa00513","hsa00513","Various types of N-glycan biosynthesis",42,0.580062142871833,1.37034365250801,0.0570264765784114,0.301801660661131,0.260428605588859,4638,"tags=50%, list=12%, signal=44%","OSTC/MGAT1/B4GALT1/STT3A/ALG14/ALG2/TUSC3/ALG12/TMEM258/DDOST/RPN1/ALG11/HEXA/MGAT2/DAD1/MAGT1/B4GALNT3/ALG13/MAN1A2/HEXD/MAN1B1"
"hsa04130","hsa04130","SNARE interactions in vesicular transport",33,0.626122475655408,1.42080928503881,0.06,0.312727272727273,0.269856459330144,4454,"tags=45%, list=12%, signal=40%","SNAP23/STX19/STX5/BET1L/SEC22B/STX4/GOSR2/BET1/STX16/VAMP4/VAMP8/BNIP1/STX3/YKT6/STX18"
"hsa05131","hsa05131","Shigellosis",248,0.405096166552154,1.20301907171786,0.0627306273062731,0.322079638706835,0.277926738418995,5567,"tags=32%, list=15%, signal=28%","WIPI1/NFKBIA/TRADD/TECPR1/H3C6/ELMO2/CYTH1/MAPK11/FNBP1L/MTOR/SQSTM1/VCL/NFKBIB/FOXO3/MYL12A/H3C4/HK1/CAPN2/ILK/CYTH2/H3C14/U2AF1L4/TNF/CTTN/ACTB/TNFRSF1A/TNIP1/MALT1/BCL2L1/H3C15/BCL10/ITGA5/ACTG1/MAP1LC3B2/IKBKG/ARPC1B/TAB3/MAP1LC3B/UBE2NL/H3C13/ARPC4/MYL9/H3-5/CDC42/HK2/MAP1LC3A/TLN1/PLCD1/IRF3/ITGB1/CAST/BNIP3/FNBP1/EGFR/H3-3B/HCLS1/ARPC3/PIK3CD/RRAGD/PRKCD/ARF1/BCAR1/WIPI2/UBE2N/JUN/ACTN1/IL1R1/RRAGC/RPTOR/TBK1/RELA/CAPN1/FOXO4/FBXW11/CASP4/WASF2/RPS6KB2/PXN/IKBKB/RRAGA"
"hsa04148","hsa04148","Efferocytosis",157,0.437897601452145,1.25093577601861,0.0645756457564576,0.326154679669511,0.281443144635257,4940,"tags=25%, list=13%, signal=22%","MERTK/SGK1/PTGER4/ODC1/ITGAV/MAPK11/ADAM17/ANO7/DUSP8/RAB5A/SPHK2/EPOR/NR1H2/SLC66A1/ADAM9/CALR/AGER/PTPN6/CPT1B/HIF1A/XKR8/DUSP5/MAPKAPK2/RAB5B/ARG1/ITGB5/CD24/SLC2A1/PTGER2/VPS39/PLA2G6/MFGE8/NR1H3/PLA2G15/VPS11/BCAR1/ADAM10/DUSP16/VPS18"
"hsa05164","hsa05164","Influenza A",171,0.432895747306842,1.24653829499301,0.0654205607476635,0.326154679669511,0.281443144635257,5616,"tags=29%, list=15%, signal=25%","NFKBIA/PRKCA/TNFRSF10B/TRADD/CXCL10/TMPRSS2/DNAJC3/NXF2B/NXF2/HLA-DMA/NFKBIB/IRF7/CCL2/TNF/ACTB/TNFRSF1A/JAK1/ACTG1/TNFSF10/IFNGR1/IKBKG/FDPS/STAT2/TICAM1/PML/RNASEL/PRSS1/IRF3/NXT2/IFNGR2/KPNA1/NXF1/OAS1/EP300/RAB11B/PRSS2/PIK3CD/IKBKE/NUP98/RAB11A/IRF9/CASP9/RIGI/SLC25A4/TBK1/RELA/IFNAR1/IKBKB/TYK2/CDK6"
"hsa05202","hsa05202","Transcriptional misregulation in cancer",198,0.42021307063855,1.22328664337549,0.0677655677655678,0.33301936159079,0.287366768569776,3270,"tags=17%, list=9%, signal=15%","GADD45G/HPGD/MAF/IGFBP3/SLC45A3/RUNX1/PTCRA/BIRC3/NFKBIZ/IGF1R/TMPRSS2/H3C6/ELK4/ID2/H3C4/NUPR1/BCL6/H3C14/FEV/BCL2L1/H3C15/ZBTB16/GADD45B/DDIT3/CDKN1A/H3C13/H3-5/TFE3/ETV1/ZBTB17/ASPSCR1/MEIS1/PML"
"hsa04659","hsa04659","Th17 cell differentiation",107,0.466620503512507,1.27168109181946,0.0702087286527514,0.340166234599246,0.293533898889191,5652,"tags=27%, list=15%, signal=23%","RUNX1/NFKBIA/MAPK11/MTOR/HLA-DMA/NFKBIB/NFKBIE/IL2RG/IL23A/JAK1/IL6ST/LAT/STAT5A/IFNGR1/IKBKG/HIF1A/PPP3CC/IFNGR2/IL6R/RXRB/TGFBR1/LCK/JUN/IL1R1/NFATC1/RELA/IKBKB/TYK2/STAT3"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation",214,0.410702597772011,1.20732849500257,0.072463768115942,0.34621578099839,0.298754131706077,3264,"tags=21%, list=9%, signal=19%","UGT2B28/UGT2B11/VEGFA/KLF4/MIRLET7B/MIR29B2/PRKCA/MIR29A/MIRLET7D/MIR29C/KLF5/UGT1A1/CREB3L4/UGT2B7/CREB3/MTOR/UGT2B10/EGF/CREB3L2/UGT1A3/MIR141/JAG1/RPS6KA2/BCL6/ADRB1/UGT2B4/MIRLET7F1/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7/PPARA/STAT5A/ATF6B/HSP90B1/MIRLET7I/ADCY6/GSTT2/RPS6KA3/MIRLET7A3/NOTCH2/GSTT2B/CREB3L1"
"hsa05206","hsa05206","MicroRNAs in cancer",311,-0.372542438971568,-1.15385800247488,0.0769230769230769,0.362486828240253,0.312794631468027,3692,"tags=18%, list=10%, signal=16%","SOS1/EFNA3/CD44/CRKL/CDC25B/E2F3/PAK4/MIR9-2/MIRLET7G/MIR194-1/MIR15A/HDAC1/HNRNPK/UBE2I/KRAS/MIR23B/MIR615/CCND1/PIK3R2/PIK3CB/SLC7A1/GLS/NOTCH1/NOTCH3/GLS2/HDAC2/FSCN1/STMN1/BCL2L11/MIR92A1/DNMT3B/MIR199A1/BCL2/TP53/MIR423/SERPINB5/P3R3URF-PIK3R3/PIK3R3/CDC25C/FZD3/PIK3R1/CCNE1/CDC25A/PIM1/MYC/EZH2/BMF/KIF23/DNMT1/MMP16/CDCA5/E2F2/BRCA1/E2F1/CCNE2"
"hsa04978","hsa04978","Mineral absorption",60,-0.503270363023258,-1.27601615698792,0.0784708249496982,0.364783294360759,0.314776282159529,1614,"tags=35%, list=4%, signal=34%","ATP2B1/ATP2B4/MT1E/SLC40A1/SLC34A3/ATP1B3/ATP1A3/FXYD2/SLC46A1/ATOX1/SLC9A3/CLCN2/MT1F/MT1A/SLC30A1/TRPV6/ATP1B1/VDR/MT1X/MT2A/MT1G"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)",30,-0.595753240452508,-1.34325794304055,0.0845070422535211,0.375874125874126,0.324346705925653,5641,"tags=60%, list=15%, signal=51%","MDH2/PCK2/PDHA1/SUCLG2/IDH3A/MDH1/ACO1/PDHB/OGDHL/SDHA/SDHB/SUCLG1/DLST/SDHD/IDH2/FH/DLAT/CS"
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",99,0.467949213943795,1.25870443287768,0.0852272727272727,0.375874125874126,0.324346705925653,5519,"tags=22%, list=15%, signal=19%","ITGAV/TPM1/CACNG4/TNF/ACTB/ITGA5/TPM4/TPM2/ACTG1/PRKAA1/LMNA/PRKAB2/ITGB5/TNNC1/PRKAA2/PRKAB1/ITGB1/ITGA10/IGF1/SNTB2/ITGB6/TTN"
"hsa04931","hsa04931","Insulin resistance",109,0.457232599144181,1.24657474652789,0.0844529750479846,0.375874125874126,0.324346705925653,5989,"tags=38%, list=16%, signal=32%","NFKBIA/IRS2/CREB3L4/TBC1D4/CREB3/MTOR/PPP1CB/GFPT1/CREB3L2/RPS6KA2/TNF/TNFRSF1A/NR1H2/SLC2A4/PYGB/SLC27A1/PTPN1/PPARA/PRKAA1/CPT1B/RPS6KA3/PRKAB2/CREB3L1/PRKAA2/SLC2A1/PRKAB1/SLC27A3/CRTC2/NR1H3/PIK3CD/PRKCD/PDPK1/RPS6KA6/OGT/RELA/GYS1/RPS6KB2/IKBKB/STAT3/PRKCZ/FOXO1"
"hsa04310","hsa04310","Wnt signaling pathway",174,-0.408382642067344,-1.19947039779135,0.084051724137931,0.375874125874126,0.324346705925653,6715,"tags=33%, list=18%, signal=27%","FZD4/NOTUM/PPARD/TLE2/WNT2B/BTRC/ROR2/FRAT2/LRP6/WNT3/PPP3R1/CTBP1/CSNK2B/CSNK2A1/CAMK2G/NFATC2/PLCB3/ROCK2/TBL1Y/INVS/RUVBL1/RHOA/CSNK2A3/FOSL1/RYK/GPC4/MAPK8/CCDC88C/WNT8B/PLCB1/SERPINF1/CUL1/LGR4/PPP3CA/TLE3/CCND1/VANGL1/PPP3CB/LRP5/PLCB4/RAC3/FZD6/NKD2/WNT10A/ZNRF3/BAMBI/SMAD3/CCND3/NKD1/MAPK9/TP53/WNT10B/FZD3/RNF43/CACYBP/MYC/CAMK2B/CAMK2D"
"hsa00510","hsa00510","N-Glycan biosynthesis",53,0.520758604934562,1.2895003355579,0.094,0.378854625550661,0.326918618131231,4813,"tags=43%, list=13%, signal=38%","ST6GAL1/OSTC/MGAT1/MOGS/B4GALT1/STT3A/ALG14/ALG2/DPM3/TUSC3/ALG12/TMEM258/DOLK/DDOST/RPN1/ALG11/MGAT2/DAD1/MAGT1/ALG13/MAN1A2/MAN1B1/DPAGT1"
"hsa00330","hsa00330","Arginine and proline metabolism",50,0.528338534681813,1.28748376116075,0.0979591836734694,0.378854625550661,0.326918618131231,3681,"tags=26%, list=10%, signal=23%","ODC1/SAT1/SMS/ALDH4A1/P4HA1/P4HA2/AMD1/CNDP2/ARG1/SAT2/OAT/SMOX/GATM"
"hsa00310","hsa00310","Lysine degradation",63,-0.495460542746039,-1.26179338654907,0.0931174089068826,0.378854625550661,0.326918618131231,5982,"tags=40%, list=16%, signal=33%","SETDB2/NSD1/ALDH3A2/KMT2A/NSD3/DOT1L/HADHA/SMYD3/KMT5C/EHHADH/EHMT2/HADH/ACAT1/DLST/HYKK/ECHS1/COLGALT1/SETMAR/SUV39H1/SMYD2/ALDH1B1/NSD2/SUV39H2/AADAT/EZH2"
"hsa04973","hsa04973","Carbohydrate digestion and absorption",48,-0.515191081848107,-1.26018264295661,0.0901960784313725,0.378854625550661,0.326918618131231,5557,"tags=31%, list=15%, signal=27%","PLCB3/HKDC1/ATP1B3/ATP1A3/FXYD2/PLCB1/PIK3R2/PIK3CB/PLCB4/SLC37A4/ATP1B1/P3R3URF-PIK3R3/PIK3R3/PIK3R1/SI"
"hsa04658","hsa04658","Th1 and Th2 cell differentiation",91,0.466844009902238,1.24379460633258,0.0984555984555985,0.378854625550661,0.326918618131231,5552,"tags=25%, list=15%, signal=22%","MAF/NFKBIA/MAPK11/HLA-DMA/NFKBIB/NFKBIE/IL2RG/JAG1/JAK1/LAT/STAT5A/IFNGR1/IKBKG/PPP3CC/NOTCH2/IFNGR2/LCK/DLL1/JUN/NFATC1/RELA/IKBKB/TYK2"
"hsa05145","hsa05145","Toxoplasmosis",110,0.454066490947519,1.2418852004644,0.0874524714828897,0.378854625550661,0.326918618131231,6748,"tags=32%, list=18%, signal=26%","NFKBIA/BIRC3/MAPK11/HLA-DMA/LDLR/NFKBIB/IL10RB/TNF/LAMC1/TNFRSF1A/LAMA3/LAMB3/JAK1/BCL2L1/IFNGR1/IKBKG/LAMA5/ITGB1/IFNGR2/XIAP/PDPK1/HSPA1A/CASP9/RELA/HSPA1B/IKBKB/TYK2/STAT3/LAMB2/MAP3K7/MAPK3/LY96/LAMA1/GNAI3/GNAI1"
"hsa04668","hsa04668","TNF signaling pathway",119,0.443094854954209,1.22841095137561,0.0953271028037383,0.378854625550661,0.326918618131231,3264,"tags=22%, list=9%, signal=20%","TNFAIP3/CCL20/NFKBIA/BIRC3/TRADD/CXCL10/RHBDF1/CREB3L4/BCL3/MAPK11/CREB3/MAP2K4/CREB3L2/JAG1/CCL2/ADAM17/TNF/JUNB/DNM1L/TNFRSF1A/ATF6B/IKBKG/TAB3/CYLD/CFLAR/CREB3L1"
"hsa04670","hsa04670","Leukocyte transendothelial migration",116,0.445111861845123,1.22790860682,0.0964083175803403,0.378854625550661,0.326918618131231,6569,"tags=32%, list=18%, signal=26%","JAM3/CLDN8/CXCR4/PRKCA/CTNNA2/CLDN12/MAPK11/VCL/MYL12A/VASP/ACTB/CD99/ACTG1/EZR/SIPA1/MYL9/CDC42/CLDN7/ITGB1/CLDN4/CTNNA1/CLDN3/PIK3CD/BCAR1/RAP1B/ACTN1/RAPGEF3/CLDN20/PXN/MSN/CTNND1/MYL5/RAP1A/ACTN4/RAC1/ARHGAP35/GNAI3"
"hsa04936","hsa04936","Alcoholic liver disease",142,0.432411570889201,1.22525252796486,0.093235831809872,0.378854625550661,0.326918618131231,3665,"tags=20%, list=10%, signal=18%","NFKBIA/TRADD/ACOX3/MAPK11/LPIN1/C2/FASN/MAP2K4/FOXO3/CAMKK2/TNF/TNFRSF1A/IL17RA/PPARA/IKBKG/PRKAA1/CPT1B/TAB3/IL17RC/LPIN3/PRKAB2/MLYCD/TICAM1/ACOX1/ACADVL/PRKAA2/IRF3/PRKAB1"
"hsa05224","hsa05224","Breast cancer",148,-0.413434565794547,-1.18841709307009,0.0987124463519313,0.378854625550661,0.326918618131231,3931,"tags=24%, list=10%, signal=21%","BAX/WNT8B/SOS1/RB1/E2F3/DLL3/KRAS/CCND1/SHC3/PIK3R2/LRP5/PIK3CB/FLT4/NOTCH1/NOTCH3/FZD6/JAG2/WNT10A/FGFR1/HEY1/TP53/WNT10B/P3R3URF-PIK3R3/PIK3R3/GADD45A/FZD3/CDK4/PIK3R1/FOS/DDB2/MYC/BRCA2/E2F2/BRCA1/E2F1"
"hsa05226","hsa05226","Gastric cancer",150,-0.413623028607174,-1.18536495949759,0.0991189427312775,0.378854625550661,0.326918618131231,3931,"tags=21%, list=10%, signal=19%","BAX/WNT8B/SOS1/RB1/E2F3/KRAS/CCND1/RARB/SHC3/PIK3R2/LRP5/PIK3CB/FZD6/WNT10A/TERC/SMAD3/BCL2/TP53/WNT10B/P3R3URF-PIK3R3/PIK3R3/GADD45A/FZD3/PIK3R1/CCNE1/DDB2/MYC/CDK2/TERT/E2F2/E2F1/CCNE2"
"hsa04010","hsa04010","MAPK signaling pathway",299,0.383512625502982,1.1645361600544,0.0962566844919786,0.378854625550661,0.326918618131231,6113,"tags=26%, list=16%, signal=22%","GADD45G/ANGPT2/RELB/NR4A1/VEGFA/PRKCA/NFKB2/RRAS/TRADD/IGF1R/MAPK11/CACNG4/ELK4/MAP2K4/EGF/DUSP10/MAPK8IP3/RPS6KA2/TNF/DUSP8/DUSP1/TNFRSF1A/PLA2G4C/PTPN5/EFNA1/MAP3K10/PLA2G4E/GNA12/PPM1A/MAP3K11/GADD45B/DDIT3/IKBKG/MAPK7/PLA2G4B/PPP3CC/DUSP5/MAPKAPK2/PPM1B/RPS6KA3/JMJD7-PLA2G4B/CDC42/EFNA4/DAXX/NLK/DUSP3/TAOK3/ATF2/EGFR/ARAF/TGFBR1/MAPK8IP2/RAPGEF2/MAP3K9/HSPA1A/JUN/DUSP16/RPS6KA6/RAP1B/NRAS/IGF1/IL1R1/PLA2G4A/NFATC1/RELA/HSPA1B/JUND/IKBKB/LAMTOR3/MAP3K13/MAP4K2/MKNK2/ERBB3/MKNK1/MAP3K6/RAP1A/MAP3K7/DUSP6"
"hsa05321","hsa05321","Inflammatory bowel disease",64,0.488211592261852,1.25014261301727,0.110671936758893,0.383180172653857,0.330651189376951,5652,"tags=17%, list=15%, signal=15%","MAF/HLA-DMA/IL2RG/TNF/IL23A/IFNGR1/IFNGR2/JUN/NFATC1/RELA/STAT3"
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",70,0.476330324395128,1.23486536868838,0.103585657370518,0.383180172653857,0.330651189376951,6587,"tags=47%, list=18%, signal=39%","JAM3/NFKBIA/MAPK11/MAP2K4/ADAM17/ATP6V0A2/HBEGF/ATP6V1G1/IKBKG/ATP6V0E1/ATP6V1C2/ATP6V0B/TCIRG1/CDC42/CSK/TJP1/ATP6V0D1/ATP6AP1/ATP6V1E1/ATP6V1C1/EGFR/ATP6V0C/ADAM10/JUN/RELA/IKBKB/ATP6V0A1/ATP6V1H/ATP6V1D/RAC1/ATP6V0D2/ATP6V1G2/SRC"
"hsa04137","hsa04137","Mitophagy - animal",103,0.453200979227515,1.22621353424823,0.112810707456979,0.383180172653857,0.330651189376951,5335,"tags=38%, list=14%, signal=33%","OPTN/RRAS/CITED2/SQSTM1/GABARAPL1/FOXO3/EIF2AK3/MARCHF5/SMURF1/RAB5A/MON1B/TBC1D17/BCL2L1/MAP1LC3B2/BNIP3L/TAX1BP1/HIF1A/MAP1LC3B/RAB5B/TFE3/ULK1/MAP1LC3A/RABGEF1/NBR1/MTX1/USP8/PINK1/TFEB/BNIP3/AMBRA1/TBC1D15/GABARAPL2/VCP/JUN/MON1A/USP30/NRAS/TBK1/RELA"
"hsa05230","hsa05230","Central carbon metabolism in cancer",71,-0.468082923010185,-1.2220395016127,0.110887096774194,0.383180172653857,0.330651189376951,6730,"tags=38%, list=18%, signal=31%","SCO2/PDGFRB/SIRT3/ERBB2/PGAM1/MET/PDHA1/HKDC1/PTEN/PDK1/PDHB/KRAS/IDH2/PIK3R2/PKM/PIK3CB/GLS/FGFR1/GLS2/PFKM/TP53/P3R3URF-PIK3R3/PIK3R3/LDHB/SLC7A5/PIK3R1/MYC"
"hsa05222","hsa05222","Small cell lung cancer",93,-0.451528297866527,-1.21988154047501,0.101659751037344,0.383180172653857,0.330651189376951,3472,"tags=31%, list=9%, signal=28%","RB1/E2F3/TRAF5/CYCS/CCND1/RARB/ITGA6/PIK3R2/PIK3CB/ITGA2/COL4A2/BCL2/TP53/P3R3URF-PIK3R3/PIK3R3/GADD45A/CKS1B/CDK4/FN1/PIK3R1/CKS2/CCNE1/DDB2/MYC/CDK2/SKP2/E2F2/E2F1/CCNE2"
